Site name,Site code,Latitude,Longitude,Date of collection,Topo,Aspect-degrees,Grazing comments,Notes
Station Field 20,AAFC01,49.56,-119.65,7/19/2019,Flat,NA,Ungrazed,
Station Field 20,AAFC01,49.56,-119.65,7/19/2019,Flat,NA,Ungrazed,
Bear bottom,AAFC02,49.94,-119.51,7/23/2019,Slope,180,"Ungrazed, Bighorn Sheep, Whitetail and Mule deer in area",
Bear Bottom,AAFC02,49.94,-119.51,7/23/2019,Slope,180,"Ungrazed, Bighorn Sheep, Whitetail and Mule deer in area",
Bald Range,AAFC03,49.99,-119.57,7/23/2019,Slope,160,"Cattle observed onsite, an active, tenured rangeland",
Bald Range,AAFC03,49.99,-119.57,7/23/2019,Slope,160,"Cattle observed onsite, an active, tenured rangeland",
Lundbom,AAFC04,50.08,-120.65,7/23/2019,Slope,145,"Grazed by cattle recently, an active, tenured rangeland",
Lundbom,AAFC04,50.08,-120.65,7/23/2019,Slope,145,"Grazed by cattle recently, an active, tenured rangeland",
Hamilton,AAFC05,50.09,-120.45,7/24/2019,Flat,NA,"Horses grazing nearby, an active, tenured rangeland",
Hamilton,AAFC05,50.09,-120.45,7/24/2019,Flat,NA,"Horses grazing nearby, an active, tenured rangeland",
Merritt,AAFC06,50.09,-120.75,7/24/2019,Ridge,40,"Ungrazed, edge of closed rest area parking lot",
Merritt,AAFC06,50.09,-120.75,7/24/2019,Ridge,40,"Ungrazed, edge of closed rest area parking lot",
Kentucky-Alleyne,AAFC07,49.9,-120.6,7/24/2019,Slope,228,"Possible historical grazing, in Provincial Park since early 80s",
Kentucky-Alleyne,AAFC07,49.9,-120.6,7/24/2019,Slope,228,"Historically grazed, in Provincial Park since early 80s, but cattle still pass through park when being moved between pastures",
Princeton North,AAFC08,49.57,-120.55,7/24/2019,Flat,NA,"Ungrazed, roadside",
Princeton North,AAFC08,49.57,-120.55,7/24/2019,Flat,NA,"Ungrazed, roadside",
Summerland mid,AAFC09,49.62,-119.8,7/26/2019,Slope,180,Unknown,
Summerland mid,AAFC09,49.62,-119.8,7/26/2019,Slope,180,Unknown,
Summerland high,AAFC10,49.71,-120.05,7/26/2019,Flat,NA,"Unknown, roadside",
Summerland high,AAFC10,49.71,-120.05,7/26/2019,Flat,NA,"Unknown, roadside",
Dry Twin Creek,Adler 21,42.7,-108.48,8/6/2019,slope,270,grazing,
Hay Reservoir,Adler 22,41.98,-108.36,8/6/2019,flat,NA,grazing,
"USU-Green Canyon, UT",Adler01,41.77,-111.79,6/19/2019,Flat,NA,Ungrazed,
"Antelope Island low, UT",Adler02,41.05,-112.25,6/22/2019,Flat,NA,Ungrazed,
"Antelope Island shore, UT",Adler03,41.05,-112.25,6/22/2019,Flat,NA,Ungrazed,
"Antelope Island high, UT",Adler04,40.99,-112.21,6/22/2019,Slope,100,Grazed by bison,
Salt Lake-Matheson Mesa,Adler05,40.79,-111.87,6/24/2019,Flat,NA,Ungrazed,
USSES-NutNet,Adler06,44.26,-112.2,6/26/2019,Flat,NA,"Grazed by sheep, light to moderate",
USSES-E1,Adler07,44.24,-112.18,7/12/2019,Flat,NA,None,
"Hamer, ID",Adler08,43.83,-112.22,6/28/2019,Flat,NA,unknown,
"Blackfoot, ID",Adler09,43.31,-112.27,6/28/2019,Flat,NA,Ungrazed,
"Tremonton, UT",Adler10,41.78,-112.18,6/28/2019,Slope,70,Ungrazed (roadside),
"Gooseberry Crk, UT",Adler11,38.83,-112.05,7/7/2019,Slope,300,Grazed,
"Scipio Reservoir, UT",Adler12,39.12,-112.05,7/7/2019,Slope,290,Grazed,
"Woodruff, UT",Adler13,41.44,-111.08,7/12/2019,Flat,NA,"Wildlife management area, grazing unknown",
"Otter Creek, UT",Adler14,41.81,-111.25,7/12/2019,Slope,210,Yes,
"Fossil Butte, WY",Adler15,41.82,-110.76,7/12/2019,Flat,NA,Unknown,
"Opal, WY",Adler16,41.78,-110.2,7/12/2019,Flat,NA,Yes,
"Church Butte, WY",Adler17,41.44,-110.11,7/12/2019,Flat,NA,Yes,
"Wendover, NV",Adler18,40.86,-114.22,7/19/2019,Flat,NA,Yes,
"Wells, NV",Adler19,41.11,-114.8,7/19/2019,Flat,NA,"No, Frontage road right of way",
USSES-High,Adler20,44.29,-112.1,7/30/2019,Flat,NA,"Sheep, spring-summer",
Crystal Light,Barnett01,43.48,-110.74,7/17/2019,Slope,220,Deer moderate,
S Narrows,Baughman1,43.23,-118.95,6/28/2019,Flat ridge,,"Grazed by cattle, unknown timing/intensity",
Buena Vista,Baughman2,43.05,-118.87,6/28/2019,Flat bottom,,"Grazed by cattle, unknown timing/intensity",
Jack Ass,Baughman3,42.81,-118.96,6/28/2019,slight slope,,"Grazed by cattle, unknown timing/intensity",
Rock Creek Reservoir,Baughman4,42.69,-119.3,6/28/2019,fat bottom,,"Grazed by cattle, unknown timing/intensity",
Skookum Lakes,Baughman5,42.72,-120.08,6/28/2019,flat bottom,,"Grazed by cattle, unknown timing/intensity",
Abert Lake,Baughman6,42.75,-120.11,6/28/2019,flat bottom,,"Grazed by cattle, unknown timing/intensity",
High Plains Grasslands Research Station,Blumenthal01,41.18,-104.9,7/11/2019,Slope,135,"cattle grazing, season long, light stocking",
Central Plains Experimental Range,Blumenthal02,40.83,-104.72,7/12/2019,Flat,NA,ungrazed,
"Kelly Flats, Poudre Canyon, CO",Blumenthal03,40.68,-105.48,7/17/2019,Slope,180,ungrazed,
"Walden, CO",Blumenthal04,40.7,-106.24,7/17/2019,Flat,NA,ungrazed,
"WY 230 - SE of Riverside, WY",Blumenthal05,41.09,-106.48,7/17/2019,Flat,NA,"cattle grazing, open range",
"WY 230 - S of Saratoga, WY",Blumenthal06,41.33,-106.74,7/17/2019,Flat,NA,ungrazed,
"Elk Mountain, WY / Medicine Bow Nat. Forest",Blumenthal07,41.54,-106.39,7/17/2019,Flat,NA,"cattle grazing, open range",
"Pawnee 1, CO",Blumenthal08,40.64,-104.56,7/24/2019,Flat,NA,"cattle grazing, open range",
"Pawnee 2, CO",Blumenthal09,40.65,-103.61,7/24/2019,Flat,NA,"cattle grazing, open range",
"Sedgwick State Preserve, CO",Blumenthal10,40.92,-102.52,7/24/2019,Flat,NA,"ungrazed, riparian",
"Pawnee 3, CO",Blumenthal11,40.8,-104.1,7/24/2019,Flat,NA,"cattle grazing, open range",
Grantsville Canyon Low,Board1,38.84,-117.57,7/9/2019,Flat,NA,Unknown/ Little sign,
Grantsville Canyon Mid,Board2,38.85,-117.5,7/9/2019,Slope,205,Unknown/ Little sign,
Mt Elden,Bradford01,35.23,-111.62,6/15/2019,Moderate slope,SW,Ungrazed,
"Patrick, NV",Chambers01,39.55,-119.58,6/8/2019,Flat,N/A,None,
"Mustang Station, NV",Chambers02,39.95,-118.76,6/8/2019,Flat,N/A,Yes,
"Rye Patch, NV",Chambers03,40.48,-118.33,6/8/2019,Flat,N/A,Yes,
"North of Winnemucca, NV",Chambers04,41.31,-117.63,6/8/2019,Flat,N/A,Yes,
"Upper Orovada, NV",Chambers05,41.54,-117.75,6/8/2019,Flat,N/A,Yes,
"Lower Orovada, NV",Chambers06,41.54,-117.78,6/8/2019,Flat,N/A,Yes,
"Horshoe Bend, ID",Chambers07,43.94,-116.19,6/8/2019,Slope,180,Yes,
"Rogerson, ID",Chambers08,42.24,-114.57,6/8/2019,Flat,N/A,Yes,
"Argenta, NV",Chambers09,40.66,-116.73,6/8/2019,Flat,N/A,Yes,
Twin Springs,Copeland01,43.7,-117.33,6/24/2019,Slope,338,"unburned, within grazing allotment but no signs of recent grazing during visit (old cow patties only)",
Vale,Copeland02,43.91,-117.15,6/25/2019,Slope,42,burned 2013,
Jordan Valley,Copeland03,42.92,-117.07,6/25/2019,Flat,NA,"unburned, within grazing allotment, signs of active grazing (cows)",
Alvord,Copeland04,42.67,-118.44,7/3/2019,Slope,181,"unburned, within grazing allotment but only signs of older grazing (old cow patties)",
Fields,Copeland05,42.27,-118.71,7/2/2019,Slope,75,"unburned, within grazing allotment but no signs of recent grazing during visit (old cow patties only)",
Miller,Copeland06,42.97,-118.87,7/2/2019,Slope,88,"burned 2013, within grazing allotment but little sign of active grazing",
Juniper Butte,Copeland07,43.52,-119.71,7/10/2019,Slope,195,"Juniper thinning area, Northern Great Basin Experimental Range, OR, moderately grazed pasture in the research range",
Outside Exclosure 11 Butte,Copeland08,43.47,-119.68,7/17/2019,Slope,172,"outside exclosure in mature sagebrush, Northern Great Basin Experimental Range, OR, moderate grazed pasture",
Exclosure 11 Butte,Copeland09,43.47,-119.68,7/17/2019,Slope,78,"inside exclosure in mature sagebrush, Northern Great Basin Experimental Range, OR, ungrazed since 1939",
Steens Low,Copeland10,42.77,-118.74,8/6/2019,Slope,345,"burned in 1984, grazed, cattle in vicinity",
NE Slope Wagontire Mt.,Davies01,43.34,-119.85,7/22/2019,Ridge,0,Ungrazed,
E Slope Hart Mt.,Davies02,42.49,-119.71,7/22/2019,Slope,9,Ungrazed,
S Loop Rd. Steens Mt.,Davies03,42.68,-118.68,8/20/2019,Slope,40,Ungrazed,
"Horn Rapids, Washington",Downs01,46.38145,-119.430272,5/26/2019,,,,
"Horse Heaven Hills, Washington",Downs02,46.25045,-119.53334,5/26/2019,,,,
"Bickleton, Washington",Downs03,45.9663,-120.3671,6/13/2019,,,,
"Bethel Ridge, Washington",Downs04,46.73598,-120.82735,7/14/2019,,,,
Castle Gardens,Eshleman1,42.9,-107.71,7/31/2019,Slope,169,"cattle grazing, light",
Johnny Behind the Rocks,Eshleman2,42.7,-108.55,8/1/2019,Slope,213,"light cattle grazing, cows observed",
Mill 01,Fleishman_01,38.47,-119.49,5/29/2019,flat,NA,grazed by cows,
Mill 02,Fleishman_02,38.49,-119.5,6/29/2019,flat,NA,grazed by sheep,
Cottonwood,Fleishman_03,38.58,-118.83,7/1/2019,flat,NA,not grazed,
Lamoille,Fleishman_04,40.66,-115.45,7/6/2019,flat,NA,not grazed,
San Juan 01,Fleishman_05,39.12,-117.27,7/9/2019,flat,NA,not grazed,
San Juan 02,Fleishman_06,39.13,-117.28,7/10/2019,flat,NA,not grazed,
Underdown,Fleishman_07,39.17,-117.44,7/10/2019,flat,NA,not grazed,
Birds of Prey,Germino01,43.472094,-116.233831,5/10/2018,flat,NA,grazed,
Summer Pasture,Germino02,43.2590965,-116.95117,7/2/2019,slope,90,grazed,
Graveyard Pt.,Germino03,43.5477662,-117.0173557,6/26/2019,barely sloped,300,grazed,
"Boise River WMA, Paired Plots",Germino04,43.57207326,-116.0169372,6/19/2019,slope,340,grazed,
Stout - ELWA community,Germino05,43.133367,-115.415386,5/24/2019,flat,NA,ungrazed since 2012 fire,
Likely Medusa,Getts1,41.17,-120.5,6/17/2019,Flat,NA,Ungrazed (besides deer/antelope),
Horse Lake Rd. ,Getts2,40.74,-120.37,6/17/2019,flat to SE,140,BLM allotment- some cow paddies. ,
Susanville Ranch Park,Getts3,40.43,-120.67,6/22/2019,flat to 10%,0.9,"Limited cattle grazing, not suppose to be grazed, but cows do get out of adajcent adjacent ",
Clear Lake,Getts4,41.71,-120.28,6/26/2019,flat,NA,Roadside Next to substation on FS Grazing possible,
Eureka,Gill1,39.91,-112.15,6/17/2019,Flat,NA,Ungrazed,
Vernon,Gill2,40.09,-112.3,6/18/2019,Flat,NA,Ungrazed,
CedarFort,Gill3,40.22,-112.19,6/18/2019,Flat,NA,mild spring cow grazing,
Hardware Ranch,Holdrege1,41.61,-111.57,7/17/2019,Slope,170,"Summer cattle grazing, moderate",
"Escalante Canyon, CO",Hufft1,38.6701,-108.3286,6/25/2019,,,,
Chatfield Farms,Hufft2,39.547444,-105.102111,6/27/2019,flat,NA,Ungrazed,
Chatfield Farms,Hufft3,39.547048,-105.101089,6/27/2019,flat,NA,Ungrazed,
Chatfield Farms,Hufft4,39.548682,-105.101089,6/27/2019,flat,NA,Ungrazed,
"East Orchard Mesa, Palisade, CO",Hufft5,39.077278,-108.366235,5/29/2019,,,,
JFSP25,JackieOtt1,43.65,-102.97,6/25/2019,gentle Slope,90,lightly grazed by beef cattle,
JFSP31,JackieOtt2,43.71,-102.32,7/15/2019,Flat,NA,lightly grazed by beef cattle,
JFSP32,JackieOtt3,43.65,-103.04,7/23/2019,gentle Slope,90,lightly grazed by beef cattle,
JFSP33,JackieOtt4,43.63,-102.99,7/23/2019,Flat,NA,lightly grazed by beef cattle,
JFSP36,JackieOtt5,43.78,-102.61,7/15/2019,gentle slope,45,lightly grazed by beef cattle,
JFSP38,JackieOtt6,43.84,-101.94,7/15/2019,gentle Slope,60,lightly grazed by beef cattle,
JFSP39,JackieOtt7,43.82,-101.94,7/15/2019,flat,NA,lightly grazed by beef cattle,
JFSP40,JackieOtt8,43.84,-101.93,7/15/2019,flat,NA,lightly grazed by beef cattle,
JFSP42,JackieOtt9,43.03,-103.97,7/11/2019,flat,NA,lightly grazed by beef cattle,
"Heart Mountain Ranch Reserve, WY",Lavin01,44.68,-109.07,7/7/2019,Flat,NA,Rarely grazed Wyoming big sagebrush steppe in good ecological condition (high cover and diversity of bunchgrass and forb species).,
"Burke Park, Bozeman MT",Lavin02,45.67,-111.03,7/23/2019,Slope,180,Ungrazed steep west facing slope at edge of silver and mountain big sagebrush steppe that is in good ecological condition and with no cheatgrass.,
"Old Indain Springs Rd, NV",Lee1,36.82340833,-116.0163889,5/6/2019,Flat,204,,
HolleronSummit,Lee2,35.3984,-115.7845,5/24/2019,Ridge,28,Minor Grazing,
SpringMtnsNorth,Lee3,36.5247,-115.8987,5/28/2019,Slope,22,Wild Horse and Minor Cattle Grazing,
HeartOfTheMojave,Lee4,35.4564,-115.52,5/28/2019,Slope,290,Minor Grazing,
TeutoniaPeak,Lee5,35.3153,-115.5544,5/28/2019,Flat,12,Grazed,
SW Reno,Leger 1,39.49,-119.84,6/21/2019,Slope,SE,None,
Peavine,Leger 2,39.55,-119.81,6/28/2019,Flat,NA,None,crested seeding
"Near Doyle, CA",Leger 3,40.1,-120.09,6/21/2019,Flat,NA,None,Burned in long Valley fire 2017
"Prison Rd, Lovelock, NV",Leger 4,40.24,-118.37,6/25/2019,Flat,NA,Grazed,Heavily disturbed
MPG Ranch,Maron1,46.68,-114.03,7/13/2019,Flat,NA,Ungrazed,
Petterson Ranch,Maron2,46.64,-113.23,7/11/2019,Slope,NA,Cattle grazed,
