Site.code,Latitude..decimal.degrees.,Longitude..decimal.degrees.,Aspect..degrees.,Slope..degrees.,Grazing.comments,Notes,Latitude,Longitude,Alt,AI,PARFall,PARSpr,PARSum,PARWin,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,tmean_7,tmean_8,tmean_9,tmean_10,tmean_11,tmean_12,vpd_1,vpd_2,vpd_3,vpd_4,vpd_5,vpd_6,vpd_7,vpd_8,vpd_9,vpd_10,vpd_11,vpd_12,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,pet_annual,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_7,pet_8,pet_9,pet_10,pet_11,pet_12,WTD,AlTox,soil_m,topsoil_pH,gs.length,gs.VPD,gs.PET,gs.tmin,gs.tmax,gs.prec,gs.ia.cv.prec,gs.cv.ai,gs.AI,gs.lst2.prec,gs.lst.prec,gs.lst2.VPD,gs.lst.VPD,gs.lst2.AI,gs.lst.AI
GreenCanyon,41.766018,-111.789327,NA,NA,Ungrazed,,41.766018,-111.789327,1481,4423,66.65972137,102.2083359,127.4902802,43.50416565,46,43,55,60,58,41,20,22,38,48,45,45,11,38,93,141,195,259,315,304,242,158,68,12,-78,-59,-14,22,62,105,151,148,97,39,-21,-72,-33,-10,39,81,128,182,233,226,170,98,23,-30,0.1044029,0.133414835,0.224823326,0.393681735,0.589685678,0.897107124,1.288379908,1.185871959,0.760251462,0.436626703,0.203127071,0.11235106,92,114,290,9226,315,-78,392,113,228,228,-32,521,60,20,27,176,64,64,137,1076,16,26,51,87,132,168,200,173,113,66,28,16,94.78487396,0,12.39999962,7.4,3,0.615470541,113.2,65,199,49,NA,0.438675284,0.432862191,49.5,41,0.743396401,0.897107124,0.33,0.244047619
Woodruff,41.56042,-111.172565,NA,NA,"Deer grazing, light",,41.56042,-111.172565,1940,2822,66.65972137,102.2083359,127.4902802,43.50416565,14,13,15,22,27,23,15,20,24,21,16,14,-9,15,67,113,165,229,281,270,211,129,44,-8,-101,-85,-43,-6,34,76,120,118,69,13,-47,-98,-55,-35,12,53,99,152,201,194,140,71,-1,-53,0.092931151,0.119265549,0.206816763,0.368590027,0.553485334,0.840649962,1.166727185,1.049130678,0.686490595,0.39513576,0.183303177,0.099844873,65,114,298,8906,281,-101,382,84,-42,196,-54,224,27,13,24,76,40,55,42,999,13,21,45,79,125,156,187,162,109,63,26,13,22.14138985,0,9.5,7.4,2,0.500925429,94,27.5,154.5,23.5,NA,0.211648331,0.25,24.5,27,0.461037681,0.553485334,0.240196078,0.216
SouthEden,41.926717,-111.275659,,NA,"Deer grazing, moderate",,41.926717,-111.275659,1882,3258,66.65972137,102.2083359,127.4902802,43.50416565,37,34,31,42,47,38,23,29,36,36,36,36,-9,16,68,114,166,230,284,274,213,131,45,-8,-100,-84,-40,-3,36,78,123,120,71,15,-45,-96,-55,-34,14,56,101,154,203,197,142,73,0,-52,0.09588182,0.117620505,0.20277977,0.3733868,0.56967926,0.853191078,1.205869794,1.08321619,0.703657091,0.406304777,0.189932048,0.105396159,67,113,294,8970,284,-100,384,86,199,199,-54,425,47,23,16,136,81,81,110,982,14,21,44,77,122,153,184,161,106,61,25,14,66.31635284,0,9.5,7.4,3,0.581243801,103.8,39.4,170.8,39.8,NA,0.3390666,0.383429672,42.5,38,0.711435169,0.853191078,0.309090909,0.248366013
HardwareRanch,41.613286,-111.567217,,NA,"Likely sheep and deer grazing, moderate",,41.613286,-111.567217,1749,4196,66.65972137,102.2083359,127.4902802,43.50416565,28,25,27,30,30,23,13,18,24,26,26,27,0,25,78,125,178,242,296,286,225,142,55,1,-90,-73,-30,6,46,88,132,130,81,24,-35,-86,-45,-24,24,66,112,165,214,208,153,83,10,-42,0.102690324,0.12951012,0.219989538,0.383281857,0.57582581,0.87942946,1.242806673,1.125396848,0.73216933,0.422755361,0.198770866,0.109715,77,114,296,9023,296,-90,387,96,198,210,-44,297,30,13,19,90,49,49,83,1058,17,25,49,83,129,164,196,170,113,67,29,16,17.83349037,0,12.39999962,6.2,2,0.528508089,98,39.25,167.5,27.5,NA,0.297940433,0.280612245,30,30,0.479553834,0.57582581,0.283018868,0.23255814
SSHQ,44.246799,-112.213263,NA,NA,Ungrazed,,44.246799,-112.213263,1650,2593,60.71944427,95.65277863,121.5361099,38.59860992,25,21,23,25,43,48,23,25,24,22,23,27,-10,18,70,119,171,226,284,277,215,131,43,-11,-98,-81,-35,1,43,85,127,123,74,17,-42,-94,-54,-32,17,60,107,155,205,200,144,74,1,-52,0.099768646,0.13839677,0.220401824,0.393770874,0.569585621,0.812326431,1.209586382,1.128727436,0.70057869,0.421032906,0.187078461,0.103651784,69,110,289,9024,284,-98,383,139,-39,202,-54,329,48,21,30,139,67,73,77,987,11,19,41,81,127,158,192,165,104,57,21,11,4.402249336,0,9.199999809,7.4,3,0.579458904,105.4,44,172.4,32.4,NA,0.180711064,0.30740038,45.5,48,0.690956026,0.812326431,0.319298246,0.303797468
SSHigh,44.295988,-112.096947,NA,NA,"Cattle grazing, moderate",,44.295988,-112.096947,1812,3368,60.71944427,95.65277863,121.5361099,38.59860992,33,27,30,31,50,58,27,30,30,27,30,35,-18,9,60,108,160,215,272,265,204,121,34,-19,-106,-89,-45,-9,32,74,115,111,63,7,-50,-102,-62,-40,8,50,96,144,194,188,134,64,-8,-61,0.097969845,0.134774968,0.211590976,0.378360569,0.551945746,0.788042486,1.160773277,1.089715481,0.682343006,0.411467314,0.183164343,0.101900302,59,110,291,8892,272,-106,378,128,87,190,-61,408,58,27,28,166,84,87,101,941,10,18,39,75,120,151,184,159,100,55,20,10,20.68869781,0,9.199999809,7.4,3,0.562431824,100.2,33.4,161.6,39.2,NA,0.171723077,0.391217565,54,58,0.669994116,0.788042486,0.398523985,0.38410596
Boise Low/Wilson,43.333643,-116.708793,56,2,"Deer grazing, light",,43.333643,-116.708793,874,2093,63.2527771,98.34027863,128.7416687,36.65277863,31,23,26,24,28,20,6,8,12,16,28,32,41,76,126,169,221,276,339,331,270,185,92,40,-42,-19,18,48,88,130,178,173,121,59,6,-38,0,28,72,108,155,203,258,252,195,122,49,1,0.118512712,0.187361985,0.303958088,0.469763547,0.693611026,1.013685465,1.538638592,1.423759937,0.878854811,0.498972088,0.214088127,0.125787348,120,114,298,8885,339,-42,381,0,254,254,0,254,32,6,40,94,22,22,94,1175,19,31,65,102,149,180,210,182,119,70,30,18,97.9172287,0,5.800000191,8.1,2,0.371695463,66.75,32.75,143,23.5,NA,0.739560231,0.352059925,25,24,0.386860818,0.469763547,0.299401198,0.235294118
Boise High/Baltzor,43.20847803,-116.9951781,NA,NA,"Antelope grazing, light; early spring to mid summer cattle grazing, light",,43.20847803,-116.9951781,1572,3652,63.2527771,98.34027863,128.7416687,36.65277863,51,40,46,44,50,39,13,16,21,29,49,54,7,39,88,129,180,234,295,286,228,147,57,7,-77,-57,-21,8,47,88,135,129,80,21,-30,-72,-35,-9,33,68,114,161,215,208,154,84,14,-33,0.110339031,0.173826724,0.273112565,0.421303689,0.623364925,0.903876245,1.382235646,1.277881861,0.796248257,0.456677079,0.194443017,0.117167249,81,114,305,8576,295,-77,372,-17,210,210,-34,452,54,13,37,157,45,45,156,1054,17,27,51,84,128,161,197,171,111,64,27,16,88.42317963,0,5.800000191,7.3,3,0.601305485,109.25,41,172.5,40.5,NA,0.297844535,0.370709382,44.5,39,0.763620585,0.903876245,0.307958478,0.242236025
MPG_IR,46.691,-114.022,350,15.11,Wildlife and feral horses,,46.691,-114.022,1146,3654,53.30138779,86.90972137,120.2861099,31.55694389,47,29,29,32,53,56,29,32,35,29,34,42,19,41,80,123,173,219,274,272,212,130,54,13,-61,-54,-24,12,49,85,123,121,77,27,-21,-63,-21,-7,28,67,111,152,199,196,144,79,17,-25,0.085386813,0.126047939,0.21580103,0.377762526,0.496098727,0.681759834,1.043481231,0.986452162,0.557229817,0.298953891,0.132184193,0.075810917,78,105,311,7828,274,-63,338,139,17,197,-22,447,56,29,25,165,87,93,136,977,12,22,48,84,127,155,189,161,98,51,19,11,52.3913269,0,10.30000019,7.3,3,0.482360959,103,50,171.4,41,NA,0.211000056,0.398058252,54.5,56,0.588929281,0.681759834,0.386524823,0.361290323
MPG_SR,46.664,-114.001,274,9.09,Wildlife and feral horses,,46.664,-114.001,1128,3622,53.30138779,86.90972137,120.2861099,31.55694389,46,29,29,32,53,57,30,33,36,30,34,41,19,41,80,123,173,218,274,271,211,130,54,13,-61,-54,-24,11,49,85,123,121,76,27,-22,-64,-21,-7,28,67,111,152,199,196,144,79,16,-25,0.086863011,0.128046557,0.220994189,0.385869116,0.50784862,0.70707339,1.076030612,1.017625809,0.576268196,0.307798475,0.135593146,0.077661715,78,105,311,7824,274,-64,338,138,16,197,-23,450,57,29,25,167,87,96,133,980,12,22,48,84,128,155,189,162,98,52,19,11,76.62576294,0,10.30000019,7.3,3,0.583747268,113.1666667,61.5,187.6666667,40.16666667,NA,0.309795581,0.354933726,55,57,0.607461005,0.70707339,0.38869258,0.367741935
MPG_TH,46.673,-114.006,203,7.97,Wildlife and feral horses,,46.673,-114.006,1142,3615,53.30138779,86.90972137,120.2861099,31.55694389,47,29,29,33,53,58,30,33,36,30,35,42,19,41,80,124,174,219,274,272,212,131,55,14,-61,-54,-23,12,50,86,124,121,77,27,-21,-63,-21,-6,28,68,112,152,199,197,144,79,17,-25,0.085386813,0.126047939,0.21580103,0.377762526,0.496098727,0.681759834,1.043481231,0.986452162,0.557229817,0.298953891,0.132184193,0.075810917,79,105,311,7825,274,-63,337,139,17,197,-22,455,58,29,25,169,87,96,136,982,12,22,48,84,128,156,189,162,99,52,19,11,64.70127106,0,10.30000019,7.3,3,0.56637616,113.5,62.16666667,188.6666667,40.5,NA,0.308246012,0.356828194,55.5,58,0.588929281,0.681759834,0.39084507,0.371794872
Peavine,39.591003,-119.878406,160,8,Currently ungrazed,,39.591003,-119.878406,1795,2991,74.09305573,107.2986145,136.5097198,46.25138855,56,45,30,15,17,11,7,7,11,18,30,45,40,62,97,132,184,238,288,279,237,166,83,37,-69,-51,-26,0,44,86,129,123,86,29,-28,-65,-14,5,35,66,114,162,208,201,161,97,28,-14,0.176869825,0.253331095,0.340824276,0.484730393,0.697428823,0.987304449,1.336654902,1.215564132,0.853609383,0.5309636,0.280522376,0.177139938,87,123,344,7823,288,-69,357,-14,203,203,-14,292,56,7,66,157,21,21,157,1130,26,35,59,89,130,164,196,173,121,75,37,25,28.88978577,0,4.800000191,7.3,1,0.5309636,75,29,166,18,NA,NA,0.24,18,18,0.5309636,0.5309636,0.24,0.24
Plymouth,39.072101,-119.783711,NA,NA,Currently ungrazed; flat,,39.072101,-119.783711,1524,2119,74.09305573,107.2986145,136.5097198,46.25138855,76,62,44,18,16,10,6,8,9,20,40,59,66,86,118,152,203,258,306,298,258,188,107,63,-48,-31,-6,20,64,107,150,144,108,51,-6,-45,9,28,56,86,133,182,228,221,183,120,50,9,0.187897399,0.269847333,0.369483173,0.527548134,0.767628789,1.088307142,1.470334053,1.338036656,0.944815755,0.586923182,0.305643201,0.189376116,109,123,348,7726,306,-48,354,9,213,223,9,368,76,6,77,211,22,22,211,1274,31,43,72,105,150,182,212,188,134,85,43,29,60.27360153,0,4.800000191,4.6,2,0.420683185,66.66666667,13,137.6666667,34.66666667,NA,0.587381054,0.52,53,44,0.319665253,0.369483173,0.92173913,0.611111111
LEHN1,36.770889,-105.750886,49,17.5,Heavy elk / some cow,,36.770889,-105.750886,2379,2778,78.02777863,109.1750031,121.3249969,55.35277939,14,12,17,18,24,18,47,46,24,23,16,14,29,50,90,133,184,244,261,245,211,147,71,26,-114,-93,-53,-13,36,88,120,112,74,10,-50,-104,-42,-22,18,60,110,166,190,179,142,79,11,-39,0.168945909,0.233934104,0.361175209,0.557884276,0.755366027,1.051906466,1.117311597,0.929593027,0.755841017,0.543238282,0.303381801,0.186438695,71,128,342,8248,261,-114,375,183,-28,183,-41,273,47,12,50,139,38,139,42,1130,23,34,62,98,141,173,184,158,117,77,39,24,114.5424118,0,6.5,7.3,4,0.836495981,134,79,216,35,NA,0.162637906,0.26119403,23.5,23,0.649539649,0.543238282,0.242268041,0.298701299
LEHN2,36.770281,105.752939,356,0.02,Heavy cow / some elk,,36.770281,105.752939,1602,2990,65.23750305,97.46666718,103.0486145,56.85833359,2,4,9,19,35,40,68,81,47,23,6,2,-8,34,98,173,224,265,279,258,205,145,71,8,-137,-97,-36,34,92,140,164,148,96,28,-50,-115,-72,-31,31,103,158,202,221,203,151,86,10,-53,0.174782574,0.229299963,0.377257407,0.620385528,0.819795191,0.954430163,0.913757682,0.777455449,0.516661763,0.377324581,0.249167517,0.174465567,84,113,272,10093,279,-137,416,209,-66,215,-66,336,81,2,91,230,6,176,6,1030,20,29,64,103,142,156,162,139,97,65,33,20,96.93482971,0,1.299999952,6.4,6,0.726570805,126.8333333,111.3333333,229.3333333,49,NA,0.337138117,0.386333771,35,23,0.446993172,0.377324581,0.432098765,0.353846154
EOARC,43.467044,-119.700795,flat,0,"Infrequently grazed, has been at least 3 years since the last grazing in this pasture",,43.467044,-119.700795,1400,2593,63.33194351,95.78472137,131.1875,37.64722061,30,21,22,18,26,20,11,16,14,20,33,33,25,48,86,122,171,222,285,279,227,147,62,22,-54,-41,-13,8,45,82,130,125,80,26,-17,-53,-14,4,37,65,108,152,208,202,154,87,23,-15,0.121567897,0.189145908,0.28129974,0.402455002,0.605757177,0.867959201,1.270993948,1.167526126,0.754254878,0.424016118,0.182443812,0.119359486,84,108,319,7725,285,-54,340,-3,189,204,-15,264,33,11,31,99,42,43,93,1045,17,27,52,86,129,160,192,167,110,63,26,16,119.5249329,0,5.900000095,7.3,2,0.477409432,92.66666667,26.33333333,146.6666667,21.33333333,NA,0.266913511,0.230215827,22,26,0.504106089,0.605757177,0.204651163,0.201550388
OttS1,43.777398,-102.607243,gentle slope,5,lightly grazed by beef cattle,11/2/21 evidence of cows visiting plot,43.777398,-102.607243,896,3849,59.7527771,90.40277863,118.484726,37.39583206,8,12,24,52,79,86,61,44,33,27,13,9,17,39,95,153,209,265,310,301,245,158,73,19,-86,-74,-32,20,80,134,176,166,108,38,-29,-78,-34,-17,31,87,144,200,243,234,177,98,22,-29,0.13988103,0.167660981,0.241573766,0.442147285,0.618304849,0.856891811,1.235019684,1.202218652,0.826818824,0.533125103,0.253923625,0.148909613,96,113,286,9804,310,-86,395,181,-32,237,-32,448,86,8,70,251,25,149,25,1091,16,25,53,94,140,171,197,172,113,66,28,16,62.53978348,0,15.89999962,7.6,7,0.816360887,136.1428571,103.1428571,234.4285714,54.57142857,NA,0.314059294,0.400839454,30,27,0.679971963,0.533125103,0.335195531,0.409090909
Rush_Valley,40.0906,-112.305,NA,0,Ungrazed,,40.0906,-112.305,1655,2970,65.3888855,100.6097183,118.398613,44.46944427,26,26,34,34,33,21,20,21,21,28,26,25,19,48,102,151,208,275,321,308,250,167,78,23,-75,-54,-12,22,68,120,169,162,107,41,-22,-70,-28,-3,45,87,138,197,245,235,178,104,28,-24,0.135203406,0.190937787,0.314505666,0.503756166,0.784891903,1.263031006,1.752043724,1.523047447,0.994439721,0.550766408,0.26955533,0.147703782,100,117,294,9441,321,-75,396,73,229,238,-27,315,34,20,19,102,61,62,77,1148,22,32,59,93,140,177,203,175,120,72,34,21,49.88648224,0,6.599999905,8,3,0.538480036,91,29.75,157,32.25,NA,0.358365861,0.354395604,33.5,33,0.644324034,0.784891903,0.287553648,0.235714286
